Leche,Fiambre,Pan ,Refresco,Carne,Vino,Cerveza,	ModoPago
Leche	Fiambre	Pan 	Refresco	Carne	Vino	Cerveza,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO	NO COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO,	DEBITO
COMPRO	COMPRO	COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO	NO COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO,	DEBITO
COMPRO	COMPRO	COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO,	CREDITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO,	CREDITO
COMPRO	COMPRO	COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO,	CREDITO
COMPRO	COMPRO	COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO,	CREDITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO,	CREDITO
COMPRO	COMPRO	COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO,	CREDITO
COMPRO	COMPRO	COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO	NO COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO,	CREDITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO,	DEBITO
COMPRO	COMPRO	COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO	NO COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO,	CREDITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO,	CREDITO
COMPRO	COMPRO	COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO	NO COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO,	CREDITO
COMPRO	COMPRO	COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO	NO COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO,	DEBITO
COMPRO	COMPRO	COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO	NO COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO,	CREDITO
COMPRO	COMPRO	COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO,	DEBITO
COMPRO	COMPRO	COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO,	CREDITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO,	DEBITO
COMPRO	COMPRO	COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO	NO COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO,	CREDITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO,	DEBITO
COMPRO	COMPRO	COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO,	CREDITO
COMPRO	COMPRO	COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	DEBITO
NO COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	NO COMPRO	NO COMPRO,	CREDITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	CREDITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
COMPRO	NO COMPRO	COMPRO	COMPRO	NO COMPRO	COMPRO	COMPRO,	DEBITO
NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	NO COMPRO	COMPRO,	DEBITO
